"Is it in the quote, B?",Room,Lab Type,Equipment Name,Equipment Description,Quantity,Item Number,Model,Any other specifics?,cost per unit,cost sum per row
N,113,"Soil/Field/Prepared Specimen BIO 300, 302, 440",microscope compound,Compound Microscope,12,,,,,
N,113,"Soil/Field/Prepared Specimen BIO 300, 302, 440",microscope dissecting,Dissecting Microscope,12,,,,,
N,113,"Soil/Field/Prepared Specimen BIO 300, 302, 440",microscope w camera,Camera Microscope,1,,,,,
Y,113,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",plant growth chamber,Plant Growth Chamber,1,846,Thermo Scientific Countertop Educational Plant Growth Chamber,,,
N,113,"Soil/Field/Prepared Specimen ENB 150, BIO 370, 480 ",Thin Client Computers,Thin Client Computers,12,,,,,
N,121,"General Biology BIO 211, 212 ",beaker,100 mL ,40,,,,,
N,121,"General Biology BIO 211, 212 ",beaker,25 mL,40,,,,,
N,121,"General Biology BIO 211, 212 ",beaker,250 mL,8,,,,,
N,121,"General Biology BIO 211, 212 ",beaker,50 mL,40,,,,,
N,121,"General Biology BIO 211, 212 ",beaker,600 mL,8,,,,,
Y,121,"General Biology BIO 211, 212 ",centrifuge,bench top centrifuge,1,75213839,Thermo Legend XTR do not purchase,,,
Y,121,"General Biology BIO 211, 212 ",centrifuge micro,microfuge,2,13-100-675,Accuspin 75002461,,,
N,121,"General Biology BIO 211, 212 ",colony counter,Colony Counter,1,13332500,Reichert,,,
N,121,"General Biology BIO 211, 212 ",culture dish,"3.5"" culture dish",8,,,,,
N,121,"General Biology BIO 211, 212 ",culture dish,"4.5"" culture dish",8,,,,,
N,121,"General Biology BIO 211, 212 ",culture dish,"8"" culture dishes",8,,,,,
N,121,"General Biology BIO 211, 212 ",erlenmeyer flask,125 mL,8,,,,,
N,121,"General Biology BIO 211, 212 ",erlenmeyer flask,250 mL,8,,,,,
N,121,"General Biology BIO 211, 212 ",erlenmeyer flask,500 mL,8,,,,,
N,121,"General Biology BIO 211, 212 ",general supplies,ice buckets (black),16,,,,,
N,121,"General Biology BIO 211, 212 ",graduated cylinder,10 mL,8,,,,,
N,121,"General Biology BIO 211, 212 ",graduated cylinder,100 mL,8,,,,,
N,121,"General Biology BIO 211, 212 ",graduated cylinder,25 mL,8,,,,,
N,121,"General Biology BIO 211, 212 ",graduated cylinder,250 mL,8,,,,,
N,121,"General Biology BIO 211, 212 ",graduated cylinder,50 mL,8,,,,,
N,121,"General Biology BIO 211, 212 ",hot plate with stirrer,hot plate with stirrer,2,SP18425Q,Super Nuova,,,
N,121,"General Biology BIO 211, 212 ",incubator,incubator,1,,,,,
N,121,"General Biology BIO 211, 212 ",microscope compound,Compound Microscope,12,,,,,
N,121,"General Biology BIO 211, 212 ",microscope dissecting,Dissecting Microscope,12,,,,,
N,121,"General Biology BIO 211, 212 ",microscope w camera,Camera Microscope,1,,,,,
Y,121,"General Biology BIO 211, 212 ",shaker MaxQ4000,shaking incubator,1,SHKE4000,Barnstead no ref,,,
N,121,"General Biology BIO 211, 212 ",Thin Client Computers,Thin Client Computers,12,,,,,
N,121,"General Biology BIO 211, 212 ",toploading balance,Toploading Balance,2,10204-990,Toploading Balance 1000gx0.01g,,,
N,121,"General Biology BIO 211, 212 ",vortex,shaker vortex,6,,,,,
N,121,"General Biology BIO 211, 212 ",water bath med size shaking,water bath med size shaking,2,,,,,
N,122,"General Biology BIO 211, 212 Prep Room",dishwasher,Dishwasher,1,10-359-100,Labconco Steam Scrubber,,,
Y,122,"General Biology BIO 211, 212 Prep Room",hot plate with stirrer,hot plate with stirrer,1,SP18425Q,Super Nuova,,,
Y,122,"General Biology BIO 211, 212 Prep Room",minus 20 freezer,-20 freezer for enzymes,1,UEN2320A,Revco,,,
N,122,"General Biology BIO 211, 212 Prep Room",pH meter,pH meter,1,,Accumet,,,
N,122,"General Biology BIO 211, 212 Prep Room",pippette supplies,Electronic serological pipetter (battery),1,,,,,
N,122,"General Biology BIO 211, 212 Prep Room",pippette supplies,Set of pipetters,1,,,,,
N,122,"General Biology BIO 211, 212 Prep Room",precision balance,Precision Balance,1,,220g x 0.001,,,
Y,122,"General Biology BIO 211, 212 Prep Room",refrigerator chromatography,Chrom fridge,1,MH49PA-GAEE-FS,Fisher,,,
N,122,"General Biology BIO 211, 212 Prep Room",shaker orbital,orbital shaker - CO2 resistant,1,,,,,
N,122,"General Biology BIO 211, 212 Prep Room",toploading balance,Toploading Balance,1,,1000 x 0.01,,,
N,123,"General Biology BIO 211, 212 ",beaker,100 mL ,40,,,,,
N,123,"General Biology BIO 211, 212 ",beaker,25 mL,40,,,,,
N,123,"General Biology BIO 211, 212 ",beaker,250 mL,8,,,,,
N,123,"General Biology BIO 211, 212 ",beaker,50 mL,40,,,,,
N,123,"General Biology BIO 211, 212 ",beaker,600 mL,8,,,,,
N,123,"General Biology BIO 211, 212 ",centrifuge,bench top centrifuge,1,,,,,
Y,123,"General Biology BIO 211, 212 ",centrifuge micro,microfuge,2,13-100-675,Accuspin 75002461,,,
N,123,"General Biology BIO 211, 212 ",colony counter,Colony Counter ,1,13332500,Reichert,,,
N,123,"General Biology BIO 211, 212 ",culture dish,"3.5"" culture dish",8,,,,,
N,123,"General Biology BIO 211, 212 ",culture dish,"4.5"" culture dish",8,,,,,
N,123,"General Biology BIO 211, 212 ",culture dish,"8"" culture dishes",8,,,,,
N,123,"General Biology BIO 211, 212 ",erlenmeyer flask,125 mL,8,,,,,
N,123,"General Biology BIO 211, 212 ",erlenmeyer flask,250 mL,8,,,,,
N,123,"General Biology BIO 211, 212 ",erlenmeyer flask,500 mL,8,,,,,
N,123,"General Biology BIO 211, 212 ",general supplies,ice buckets (black),16,,,,,
N,123,"General Biology BIO 211, 212 ",graduated cylinder,10 mL,8,,,,,
N,123,"General Biology BIO 211, 212 ",graduated cylinder,100 mL,8,,,,,
N,123,"General Biology BIO 211, 212 ",graduated cylinder,25 mL,8,,,,,
N,123,"General Biology BIO 211, 212 ",graduated cylinder,250 mL,8,,,,,
N,123,"General Biology BIO 211, 212 ",graduated cylinder,50 mL,8,,,,,
Y,123,"General Biology BIO 211, 212 ",hot plate with stirrer,hot plate with stirrer,2,SP18425Q,Super Nuova,,,
N,123,"General Biology BIO 211, 212 ",incubator,incubator,1,,,,,
N,123,"General Biology BIO 211, 212 ",microscope compound,Compound Microscope,12,,,,,
N,123,"General Biology BIO 211, 212 ",microscope dissecting,Dissecting Microscope,12,,,,,
N,123,"General Biology BIO 211, 212 ",microscope w camera,Camera Microscope,1,,,,,
N,123,"General Biology BIO 211, 212 ",shaker MaxQ4000,shaking incubator,1,,,,,
N,123,"General Biology BIO 211, 212 ",Thin Client Computers,Thin Client Computers,12,,,,,
N,123,"General Biology BIO 211, 212 ",toploading balance,Toploading Balance,2,,Toploading Balance 1000gx0.01g,,,
N,123,"General Biology BIO 211, 212 ",vortex,shaker vortex,6,,,,,
N,123,"General Biology BIO 211, 212 ",water bath med size shaking,water bath med size shaking,2,,,,,
N,126,"Prepared Formalin Specimen BIO 202, 203",microscope compound,Compound Microscope,16,,,,,
N,126,"Prepared Formalin Specimen BIO 202, 203",microscope w camera,Camera Microscope,1,,,,,
Y,126,"Prepared Formalin Specimen BIO 202, 203",refrigerator deli,Deli-fridge,2,MR49PA-GAEE-FS,Fisher,,,
N,126,"Prepared Formalin Specimen BIO 202, 203",Thin Client Computers,Thin Client Computers,16,,,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Brain Ventricles,2,,,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Bronchial Tree,2,,Somso,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Cartilages of the Larynx,2,,Somso,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Digestive System (3 Part),2,6090.01,Altay,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Female Reproductive Models,2,,,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Flexible  Elbow Joint,2,,3B,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Flexible Hip Joint,2,,3B,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Free-Standing Urinary System,1,"145, A55",Denoyer-Geppert,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Functional Model of the Knee-Joint,1,,Somso,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Heart,1,,Somso,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Human Skeleton (Disarticulated),1,,Somso,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Human Skeleton (Female - Articulated),1,,Carolina,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Human Skeleton (Male - Articulated),1,,,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,"Kidney , Nephron, & Kidney Corpuscle ",7,,Somso,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,"Lungs w/Heart, Diaphragm & Larynx",2,,Somso,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Male Reproductive Models,2,,,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Multitorso,2,,,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Muscles of the Arm,1,,Somso,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Muscles of the Leg w/Base of Pelvis,2,,Somso,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,"Pancreas, Duodenum, & Spleen",2,6090.11,Altay,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Plastic Brain,1,,,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Pregnancy Series,4,,,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Salivary Glands,2,,,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Section of Skin ,2,K53,Somso,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Spinal Cord w/Spinal Canal,1,,Somso,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Spine with Spinal Nerved,1,,,,,
N,127,"Prepared Formalin Specimen BIO 202, 203 Prep Room",Anatomy Models,Stomach,2,,GPI,,,
N,128,"Prepared Formalin Specimen BIO 301, 435",microscope compound,Compound Microscope,12,,,,,
N,128,"Prepared Formalin Specimen BIO 301, 435",microscope dissecting,Dissecting Microscope,12,,,,,
Y,128,"Prepared Formalin Specimen BIO 202, 203",refrigerator deli,Deli-fridge,1,MR49PA-GAEE-FS,Fisher,,,
Y,339,Tissue Culture Room,centrifuge,Centrifuge,1,75818382  75003624,Sorvall ST16R,,,
Y,339,Tissue Culture Room,centrifuge,floor model centrifuge,1,75006580,Lynx 6000,,,
Y,339,Tissue Culture Room,centrifuge micro,microfuge,2,75002436,Sorvall Micro 21,,,
Y,339,Tissue Culture Room,CO2 incubators,CO2 incubators,2,370,Heraeus,,,
N,339,Tissue Culture Room,Desktop Computers,Desktop Computers,1,,,each plate reader needs a desktop computer€,,
N,339,Tissue Culture Room,general supplies,ethanol bottles,12,,,,,
N,339,Tissue Culture Room,general supplies,hemocytometer,12,,,,,
Y,339,Tissue Culture Room,general supplies,liquid nitrogen dewar,1,CY50925-70,Locator Jr. ,,,
Y,339,Tissue Culture Room,general supplies,plate holder,2,88881124,plate holder,,,
Y,339,Tissue Culture Room,general supplies,tube rack,2,88881121,tube rack,,,
N,339,Tissue Culture Room,microscope invert phase fluor,Inverted Phase Contrast Microscope w fluorescence,12,,,,,
N,339,Tissue Culture Room,pippette supplies,electronic pipettors for serological pipettes,12,,,,,
N,339,Tissue Culture Room,pippette supplies,multi-channel pipettors,12,,,,,
N,339,Tissue Culture Room,pippette supplies,repeator pipettes,12,,,,,
N,339,Tissue Culture Room,pippette supplies,"set of micropipettors (10, 20, 200, 1000 uL)",12,,,,,
N,339,Tissue Culture Room,precision balance,Precision Balance,1,,,,,
Y,339,Tissue Culture Room,refrigerator,fridge,1,20LREETSA,Thermo Value,,,
Y,339,Tissue Culture Room,shaker orbital,orbital shaker - CO2 resistant,2,88881101,Thermo,,,
Y,339,Tissue Culture Room,vortex,shaker vortex,6,88880017,Thermo,,,
Y,339,Tissue Culture Room,water bath,water bath,2,FSSWB27,Fisher,,,
N,342,"Infectious Culture BIO 102, 303, 475, 482",general supplies,bunsen burner,15,,,,,
N,342,"Infectious Culture BIO 102, 303, 475, 482",general supplies,bunsen burner stands,15,,,,,
N,342,"Infectious Culture BIO 102, 303, 475, 482",general supplies,ice buckets (red),10,,,,,
N,342,"Infectious Culture BIO 102, 303, 475, 482",general supplies,striker,15,,,,,
Y,342,"Infectious Culture BIO 102, 303, 475, 482",hot plate with stirrer,hot plate with stirrer,14,SP18425Q,Super Nuova,,,
Y,342,"Infectious Culture BIO 102, 303, 475, 482",incubator,incubator,1,51028065,Thermo Scientific; Heratherm; 180 L,,,
Y,342,"Infectious Culture BIO 102, 303, 475, 482",incubator,incubator,1,51028068,Thermo Scientific; Heratherm; 180 L internal plug,,,
N,342,"Infectious Culture BIO 102, 303, 475, 482",microscope w camera,Camera Microscope,13,,,,,
N,342,"Infectious Culture BIO 102, 303, 475, 482",refrigerator deli,Deli-fridge,1,MR45PA-GAEE-FS,Fisher,,,
N,342,"Infectious Culture BIO 102, 303, 475, 482",shaker MaxQ4000,shaking incubator,2,SHKE4450PROMO              30182 30188,MaxQ4450,,,
N,342,"Infectious Culture BIO 102, 303, 475, 482",spectrophotometer,spectrophotometer,3,14-380-442,Genesys 30,,,
Y,342,"Infectious Culture BIO 102, 303, 475, 482",water bath med size shaking,water bath med size shaking,3,FSGPD10,Fisher,,,
Y,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",centrifuge,centrifuge,1,75818382  75003624,Sorvall ST16R,,,
N,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",dishwasher,Dishwasher,1,,,,,
Y,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",hot plate with stirrer,hot plate with stirrer,3,SP18425Q,Super Nuova,,,
N,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",incubator,incubator,2,,,,,
Y,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",minus 20 freezer,-20 manual defrost,1,UGL2320A,Revco,,,
N,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",pH meter,pH meter,2,13636AE153,Accumet,,,
N,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",pippette supplies,electonic pipetters for serological,2,,,,,
N,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",pippette supplies,Pipette sets,4,,,,,
N,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",pippette supplies,pipette stands,4,,,,,
N,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",pippette supplies,repeater pipette,1,,,,,
N,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",precision balance,Precision Balance,1,,,,,
Y,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",refrigerator,fridge,1,MR49PA-GAEE-FS,Fisher Isotemp,,,
Y,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",shaker MaxQ4000,shaking incubator,1,SHKE4450PROMO,MaxQ4450,,,
N,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",shaker orbital,orbital shaker,1,,,,,
N,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",toploading balance,Toploading Balance,2,,,,,
Y,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",vortex,shaker vortex,2,88880017,Thermo,,,
Y,343,"Infectious Culture BIO 102, 303, 475, 482 Prep Room",water bath med size shaking,water bath med size shaking,1,FSGPD10,,,,
N,344,"Infectious Culture BIO 102, 303, 475, 482",general supplies,bunsen burner,15,,,,,
N,344,"Infectious Culture BIO 102, 303, 475, 482",general supplies,bunsen burner stands,15,,,,,
N,344,"Infectious Culture BIO 102, 303, 475, 482",general supplies,ice buckets (red),10,,,,,
N,344,"Infectious Culture BIO 102, 303, 475, 482",general supplies,striker,15,,,,,
Y,344,"Infectious Culture BIO 102, 303, 475, 482",incubator,incubator- standing double door,1,51028065,Thermo Scientific; Heratherm; 180 L,,,
N,344,"Infectious Culture BIO 102, 303, 475, 482",microscope w camera,Camera Microscope,13,,,,,
Y,344,"Infectious Culture BIO 102, 303, 475, 482",refrigerator deli,deli fridge,1,MR45PA-GAEE-FS,Fisher,,,
Y,344,"Infectious Culture BIO 102, 303, 475, 482",shaker MaxQ4000,shaking incubator,2,SHKE4450PROMO              30182 30188,MaxQ4450,,,
,344,"Infectious Culture BIO 102, 303, 475, 482",spectrophotometer,spectrophotometer,3,14-380-442,Genesys 30,,,
Y,344,"Infectious Culture BIO 102, 303, 475, 482",water bath med size shaking,water bath med size shaking,3,FSGPD10,Fisher,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",centrifuge,Centrifuge,1,,XTR,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",centrifuge micro,microfuge,3,75002446,Thermo Micro 21R,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",centrifuge supplies,15 ml conical tubes,30,89039-666,500 per case,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",centrifuge supplies,50 ml conical tubes,30,89039-658,500 per case,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",corning bottle,100 ml Corning bottles,50,22-288522,,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",gel supplies,large gel box,9,,"12 cm x 12 cm (8 x8"" approx)  FB-SB-1316 FB-SB-2025   FIS-1316SS, FIS-2025SS",,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",gel supplies,plate spreader (glass),15,50-121-5126,10 pack,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",gel supplies,plate washer,2,,,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",gel supplies,power supply,3,FB3000,,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",gel supplies,small gel box,9,,cross to BioRad model sub cell GT mini,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,bunsen burners,15,89038-544,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,eppendorf rack,30,06-666-56,FB Pipettor Acrylic Rack Stand,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,ethanol squeeze bottle,13,08-647-710,6 pack,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,EVOS,1,,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,flotation devices for water bath,12,14-792-18,4 pack square,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,Fly chamber,1,3915FL,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,glass beads for plate spreading ,1,NC9934837,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,handheld UV lamps,2,UVP95 0005-05,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,hemocytometer,9,,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,ice buckets,13,11-676,Black,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,large flip-top biohazard containers,2,18-8800,53L,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,PCR tube racks,10,,Storage Racks Freezer 5 per pack,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,plate reader (UV/vis fluorescence),2,,ELX50,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,sharpies,6,,12 pack,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,small biohazard waste container for benchtop,7,18-880A,22.7 L,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,stacking kit,1,50126667,stacking kit - Heratherm incubator,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,striker,15,18385-220,,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,support stand,1,50127743,support stand,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,tape dispensers,9,15-912,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,test tube racks to hold standard test tubes(like you would do yeast culture in),30,14-809-47,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,thermocycler,1, , BARB has NOTES,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,thermometer for water bath,2,14-648-44,,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,transilluminator,1,,w/ Documentation System,,,
Y,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,TS - Heratherm advanced protocol with plug,1,51028068,TS - Heratherm advanced protocol with plug,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",general supplies,water squeeze bottle ,13,03-409-23K,6 pack,,,
N,347,"Molecular Cell BIO 310, 410, 450, 460, ",heat block,heat block for test tubes,4,,,,,
